country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,1433e3,1492e3,1662e3,1871e3,2128e3,2423e3,256e4,2293e3,2377e3,3463e3,3928e3,4554e3,5166e3,5972e3,6735e3,7338e3,7766e3,8023e3,819e4,8325e3,8432e3
Albania,173e3,219e3,28e4,316e3,322e3,336e3,344e3,361e3,389e3,331e3,29e4,222e3,223e3,237e3,243e3,228e3,202e3,184e3,181e3,182e3,177e3
Algeria,139e4,1627e3,196e4,2326e3,2674e3,3005e3,3359e3,3841e3,3837e3,3637e3,3019e3,3156e3,3436e3,3608e3,3573e3,3343e3,3081e3,295e4,2958e3,3037e3,303e4
Angola,703e3,833e3,945e3,1057e3,1167e3,1296e3,153e4,1839e3,2114e3,247e4,2665e3,3065e3,3243e3,3607e3,3879e3,4065e3,4169e3,424e4,4312e3,4376e3,4404e3
Argentina,1947e3,2139e3,2266e3,2348e3,2456e3,2768e3,3297e3,3225e3,3342e3,3452e3,343e4,3321e3,3401e3,3414e3,336e4,3264e3,3155e3,3045e3,3042e3,302e4,2972e3
Armenia,15e4,235e3,317e3,346e3,292e3,301e3,331e3,378e3,389e3,289e3,197e3,209e3,227e3,233e3,216e3,191e3,176e3,173e3,174e3,171e3,161e3
Aruba,7e3,8e3,8e3,8e3,7e3,6e3,5e3,7e3,6e3,7e3,7e3,6e3,6e3,6e3,6e3,7e3,6e3,6e3,6e3,6e3,6e3
Australia,885e3,985e3,1092e3,1184e3,1208e3,1254e3,1132e3,1196e3,126e4,1299e3,1275e3,1285e3,1356e3,1394e3,1429e3,1459e3,1473e3,1486e3,1514e3,1552e3,1586e3
Austria,516e3,485e3,566e3,64e4,61e4,501e3,431e3,45e4,438e3,459e3,413e3,398e3,386e3,384e3,392e3,396e3,393e3,384e3,382e3,388e3,4e5
Azerbaijan,3e5,485e3,724e3,836e3,753e3,699e3,706e3,808e3,942e3,899e3,699e3,669e3,786e3,823e3,772e3,682e3,622e3,617e3,632e3,624e3,59e4
Bahamas,12e3,14e3,19e3,26e3,27e3,27e3,26e3,29e3,28e3,31e3,31e3,28e3,28e3,28e3,28e3,28e3,27e3,27e3,26e3,26e3,26e3
Bahrain,2e4,24e3,28e3,4e4,38e3,41e3,44e3,49e3,58e3,67e3,62e3,68e3,7e4,7e4,68e3,68e3,7e4,71e3,71e3,7e4,7e4
Bangladesh,6742e3,8342e3,9416e3,10758e3,12346e3,14284e3,16273e3,17627e3,17778e3,17611e3,17708e3,17446e3,16282e3,16183e3,16087e3,157e5,15034e3,14281e3,13808e3,13607e3,13315e3
Barbados,26e3,31e3,32e3,33e3,26e3,22e3,21e3,21e3,2e4,18e3,15e3,14e3,14e3,14e3,14e3,13e3,12e3,12e3,12e3,12e3,11e3
Belarus,659e3,812e3,97e4,913e3,748e3,747e3,745e3,813e3,807e3,611e3,473e3,457e3,479e3,462e3,426e3,384e3,346e3,33e4,33e4,328e3,315e3
Belgium,693e3,694e3,75e4,779e3,718e3,653e3,6e5,592e3,587e3,6e5,57e4,565e3,605e3,604e3,612e3,608e3,6e5,595e3,599e3,606e3,61e4
Belize,11e3,16e3,18e3,19e3,22e3,24e3,24e3,29e3,32e3,35e3,36e3,36e3,36e3,37e3,37e3,36e3,35e3,33e3,32e3,33e3,32e3
Benin,281e3,305e3,35e4,41e4,477e3,55e4,646e3,755e3,875e3,1024e3,1169e3,1332e3,1528e3,1691e3,1802e3,1886e3,1957e3,2024e3,2076e3,2103e3,211e4
Bhutan,3e4,33e3,39e3,45e3,52e3,62e3,73e3,82e3,92e3,81e3,72e3,73e3,69e3,73e3,74e3,7e4,64e3,62e3,63e3,63e3,62e3
Bolivia,458e3,512e3,575e3,638e3,717e3,817e3,865e3,94e4,1038e3,1157e3,119e4,1239e3,1243e3,1237e3,1216e3,1186e3,1147e3,11e5,1052e3,1007e3,967e3
Bosnia and Herzegovina,385e3,445e3,455e3,464e3,387e3,368e3,334e3,355e3,341e3,205e3,217e3,182e3,17e4,166e3,159e3,148e3,137e3,127e3,121e3,118e3,116e3
Botswana,62e3,87e3,1e5,113e3,13e4,153e3,185e3,211e3,22e4,221e3,22e4,214e3,226e3,234e3,234e3,23e4,223e3,22e4,22e4,218e3,212e3
Brazil,8984e3,10868e3,12544e3,14437e3,14732e3,15425e3,17037e3,18509e3,17689e3,16747e3,17433e3,1731e4,15228e3,1381e4,13071e3,12299e3,11655e3,11297e3,10882e3,10806e3,10476e3
Brunei,7e3,13e3,16e3,19e3,21e3,25e3,29e3,31e3,34e3,37e3,38e3,36e3,37e3,37e3,38e3,39e3,4e4,41e3,41e3,41e3,42e3
Bulgaria,733e3,697e3,659e3,642e3,646e3,672e3,677e3,588e3,557e3,419e3,335e3,333e3,358e3,35e4,321e3,288e3,263e3,259e3,264e3,264e3,251e3
Burkina Faso,659e3,692e3,783e3,879e3,991e3,1108e3,1283e3,1471e3,1676e3,1914e3,2174e3,2515e3,3187e3,3428e3,3602e3,3759e3,3946e3,4132e3,4248e3,4275e3,4256e3
Burundi,402e3,49e4,523e3,563e3,612e3,646e3,731e3,904e3,1076e3,1089e3,1058e3,1085e3,1211e3,132e4,135e4,1309e3,126e4,1247e3,1272e3,129e4,1271e3
Cambodia,725e3,809e3,92e4,105e4,1194e3,1098e3,969e3,167e4,1795e3,1933e3,1742e3,1573e3,167e4,1808e3,1884e3,1836e3,1737e3,1683e3,1687e3,1695e3,1657e3
Cameroon,708e3,799e3,886e3,1027e3,1194e3,1403e3,1651e3,1929e3,2179e3,2389e3,2505e3,2823e3,3118e3,3236e3,3251e3,3257e3,3299e3,3356e3,338e4,3352e3,3295e3
Canada,1636e3,1944e3,2236e3,2265e3,1852e3,1769e3,1792e3,1847e3,1931e3,1984e3,1759e3,1708e3,1796e3,19e5,2014e3,2095e3,2116e3,2121e3,2166e3,2232e3,2317e3
Cape Verde,15e3,25e3,38e3,4e4,42e3,45e3,49e3,57e3,64e3,65e3,63e3,62e3,58e3,59e3,6e4,58e3,55e3,52e3,49e3,47e3,44e3
Central African Rep.,19e4,211e3,239e3,269e3,302e3,338e3,382e3,447e3,5e5,544e3,608e3,645e3,662e3,685e3,699e3,706e3,712e3,707e3,7e5,692e3,683e3
Chad,365e3,443e3,494e3,553e3,626e3,738e3,85e4,973e3,1137e3,1322e3,156e4,1855e3,2063e3,2269e3,2466e3,2647e3,278e4,2865e3,2925e3,2979e3,3023e3
Channel Islands,9e3,8e3,8e3,8e3,9e3,7e3,7e3,7e3,8e3,8e3,8e3,8e3,7e3,7e3,7e3,7e3,7e3,7e3,7e3,6e3,6e3
Chile,867e3,1002e3,1216e3,1352e3,1291e3,1263e3,1178e3,1323e3,1459e3,1488e3,1328e3,1237e3,1248e3,126e4,1248e3,1235e3,1202e3,1168e3,1146e3,1135e3,1123e3
China,74576e3,98675e3,9173e4,110285e3,130117e3,124171e3,98041e3,104146e3,125165e3,107503e3,95371e3,87458e3,87873e3,91733e3,89708e3,81884e3,75702e3,73474e3,73722e3,73024e3,70047e3
Colombia,2152e3,2587e3,2947e3,3385e3,3679e3,3589e3,3906e3,4096e3,4262e3,4442e3,4442e3,4445e3,4502e3,4447e3,4396e3,4314e3,4206e3,4082e3,394e4,3837e3,378e4
Comoros,22e3,31e3,35e3,39e3,43e3,5e4,63e3,76e3,72e3,74e3,8e4,9e4,101e3,102e3,99e3,97e3,99e3,103e3,104e3,101e3,98e3
"Congo, Dem. Rep.",217e4,2401e3,2743e3,3157e3,3699e3,433e4,5095e3,6063e3,7303e3,8963e3,9905e3,11302e3,12155e3,13241e3,14152e3,1467e4,14859e3,14867e3,14809e3,14641e3,14289e3
"Congo, Rep.",129e3,147e3,17e4,2e5,237e3,278e3,326e3,368e3,407e3,45e4,473e3,531e3,559e3,576e3,596e3,599e3,598e3,598e3,595e3,59e4,58e4
Costa Rica,155e3,207e3,249e3,293e3,285e3,279e3,318e3,367e3,411e3,404e3,397e3,393e3,37e4,388e3,379e3,376e3,368e3,362e3,358e3,355e3,352e3
Cote d'Ivoire,431e3,516e3,638e3,803e3,1009e3,1297e3,1655e3,1945e3,2183e3,2444e3,2701e3,3004e3,3218e3,341e4,3531e3,3622e3,3703e3,3765e3,3797e3,3794e3,3763e3
Croatia,389e3,388e3,352e3,345e3,296e3,308e3,316e3,32e4,29e4,264e3,234e3,208e3,21e4,213e3,207e3,199e3,189e3,183e3,182e3,185e3,185e3
Cuba,776e3,892e3,89e4,1231e3,1223e3,1135e3,803e3,786e3,876e3,77e4,714e3,669e3,58e4,556e3,537e3,508e3,473e3,438e3,411e3,387e3,366e3
Cyprus,67e3,65e3,75e3,7e4,59e3,47e3,57e3,62e3,62e3,61e3,53e3,48e3,5e4,54e3,57e3,59e3,58e3,57e3,58e3,61e3,64e3
Czech Rep.,888e3,846e3,721e3,691e3,69e4,847e3,878e3,695e3,647e3,593e3,443e3,468e3,548e3,564e3,536e3,5e5,471e3,473e3,505e3,535e3,539e3
Denmark,416e3,375e3,368e3,392e3,388e3,362e3,314e3,265e3,291e3,339e3,337e3,325e3,315e3,297e3,298e3,31e4,316e3,312e3,302e3,293e3,29e4
Djibouti,12e3,12e3,15e3,22e3,3e4,41e3,6e4,7e4,97e3,102e3,105e3,107e3,109e3,111e3,114e3,116e3,117e3,115e3,114e3,114e3,114e3
Dominican Rep.,458e3,557e3,674e3,772e3,832e3,867e3,898e3,965e3,1016e3,1057e3,1047e3,1075e3,1087e3,1071e3,1045e3,1017e3,989e3,958e3,921e3,882e3,844e3
Ecuador,535e3,688e3,786e3,907e3,1039e3,1162e3,1284e3,1367e3,1404e3,1418e3,1458e3,1426e3,1371e3,1342e3,1326e3,1294e3,1253e3,1202e3,1152e3,1103e3,1076e3
Egypt,3731e3,4221e3,4865e3,5312e3,5793e3,6251e3,7281e3,826e4,9332e3,8249e3,8542e3,9081e3,9657e3,9904e3,9675e3,9386e3,929e4,931e4,9234e3,895e4,8545e3
El Salvador,365e3,442e3,52e4,607e3,671e3,733e3,787e3,784e3,778e3,802e3,771e3,635e3,607e3,615e3,617e3,614e3,577e3,544e3,52e4,504e3,495e3
Equatorial Guinea,3e4,36e3,38e3,41e3,45e3,37e3,3e4,5e4,72e3,83e3,9e4,97e3,108e3,122e3,131e3,135e3,137e3,14e4,144e3,147e3,147e3
Eritrea,213e3,226e3,262e3,297e3,337e3,388e3,498e3,483e3,538e3,556e3,597e3,735e3,849e3,893e3,887e3,873e3,885e3,922e3,958e3,967e3,945e3
Estonia,92e3,91e3,97e3,98e3,97e3,111e3,11e4,114e3,12e4,8e4,63e3,65e3,78e3,84e3,82e3,74e3,65e3,62e3,66e3,7e4,71e3
Ethiopia,3387e3,3579e3,3954e3,4597e3,5265e3,5954e3,6357e3,7467e3,9051e3,10737e3,11735e3,12583e3,13819e3,14734e3,15397e3,15767e3,15882e3,15822e3,15712e3,15461e3,15003e3
Fiji,55e3,65e3,76e3,8e4,75e3,77e3,87e3,102e3,95e3,95e3,96e3,91e3,86e3,82e3,78e3,76e3,73e3,7e4,65e3,59e3,55e3
Finland,5e5,445e3,413e3,392e3,348e3,302e3,32e4,325e3,311e3,326e3,295e3,285e3,295e3,303e3,304e3,3e5,292e3,284e3,283e3,285e3,287e3
