country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Central African Rep.,232e3,243e3,252e3,269e3,293e3,315e3,345e3,381e3,406e3,45e4,503e3,55e4,608e3,679e3,765e3,881e3,1025e3,1179e3,1352e3,1519e3,167e4
Chad,407e3,444e3,482e3,526e3,565e3,608e3,64e4,689e3,766e3,884e3,1026e3,1202e3,1363e3,1544e3,1796e3,2141e3,2567e3,3074e3,3658e3,434e4,5096e3
Channel Islands,26e3,27e3,3e4,29e3,3e4,29e3,3e4,31e3,34e3,37e3,4e4,45e3,47e3,48e3,47e3,43e3,4e4,37e3,38e3,38e3,35e3
Chile,1099e3,1178e3,1265e3,1365e3,149e4,1636e3,1793e3,2039e3,2325e3,2727e3,33e5,3911e3,4389e3,4727e3,4783e3,4839e3,5061e3,531e4,5464e3,5387e3,5191e3
China,105296e3,106147e3,112542e3,1206e5,133081e3,149405e3,16497e4,177761e3,199364e3,237879e3,27124e4,321521e3,378837e3,409847e3,418646e3,415403e3,414539e3,402909e3,402613e3,388357e3,355174e3
Colombia,1705e3,1953e3,2193e3,2468e3,272e4,298e4,3307e3,3743e3,4515e3,5614e3,695e4,8508e3,999e4,11039e3,12096e3,12966e3,13735e3,14699e3,15338e3,15777e3,16099e3
Comoros,23e3,28e3,3e4,32e3,34e3,36e3,41e3,44e3,48e3,57e3,69e3,84e3,102e3,121e3,145e3,178e3,203e3,222e3,241e3,258e3,288e3
"Congo, Dem. Rep.",161e4,1799e3,204e4,2318e3,2678e3,307e4,3523e3,4003e3,4595e3,5362e3,5862e3,663e4,7617e3,889e4,10487e3,12545e3,15155e3,18313e3,21952e3,26011e3,30026e3
"Congo, Rep.",125e3,137e3,153e3,171e3,193e3,216e3,242e3,274e3,31e4,351e3,379e3,422e3,472e3,565e3,7e5,851e3,1019e3,1184e3,1322e3,1459e3,1587e3
Costa Rica,166e3,182e3,204e3,219e3,244e3,27e4,304e3,359e3,431e3,547e3,709e3,897e3,1056e3,1164e3,1268e3,1378e3,1513e3,1636e3,1696e3,1694e3,1635e3
Cote d'Ivoire,34e4,4e5,479e3,587e3,73e4,925e3,1175e3,1465e3,1762e3,2099e3,2419e3,2644e3,2911e3,3308e3,391e4,4666e3,5571e3,6585e3,7597e3,8698e3,9793e3
Croatia,914e3,951e3,885e3,9e5,966e3,1062e3,118e4,1171e3,1178e3,1229e3,1212e3,127e4,1264e3,1227e3,1203e3,119e4,1171e3,1138e3,1076e3,983e3,924e3
Cuba,1025e3,12e5,1336e3,1395e3,1451e3,1536e3,1689e3,1919e3,2172e3,2412e3,2663e3,2927e3,3333e3,3599e3,3564e3,3272e3,302e4,2813e3,2789e3,2725e3,2465e3
Cyprus,91e3,102e3,107e3,108e3,114e3,112e3,121e3,128e3,147e3,168e3,196e3,22e4,236e3,247e3,257e3,275e3,293e3,314e3,315e3,305e3,295e3
Czech Rep.,244e4,2593e3,2408e3,243e4,2359e3,2273e3,2367e3,2361e3,2548e3,2767e3,2911e3,2903e3,2823e3,2902e3,3119e3,3191e3,3232e3,3044e3,2676e3,2474e3,2361e3
Denmark,1049e3,1119e3,1155e3,1185e3,1167e3,1133e3,113e4,119e4,1313e3,1404e3,1483e3,1521e3,1523e3,1538e3,1502e3,1392e3,1311e3,1298e3,1324e3,1379e3,1396e3
Djibouti,8e3,8e3,11e3,14e3,19e3,28e3,42e3,52e3,73e3,82e3,1e5,116e3,134e3,157e3,181e3,211e3,249e3,287e3,32e4,345e3,364e3
Dominican Rep.,289e3,334e3,394e3,472e3,569e3,679e3,788e3,903e3,1024e3,1184e3,1408e3,1682e3,197e4,2221e3,2426e3,262e4,2816e3,3021e3,3181e3,3306e3,3393e3
Ecuador,539e3,58e4,631e3,699e3,787e3,891e3,103e4,1189e3,1388e3,1685e3,1994e3,2326e3,267e4,2966e3,3257e3,3541e3,3823e3,4106e3,4392e3,4585e3,4658e3
Egypt,3398e3,377e4,4197e3,469e4,5226e3,5864e3,6508e3,7036e3,8218e3,9541e3,11207e3,13258e3,1502e4,16979e3,19603e3,22925e3,26908e3,29374e3,30977e3,31953e3,32484e3
El Salvador,301e3,332e3,37e4,424e3,47e4,539e3,608e3,676e3,76e4,861e3,931e3,997e3,1084e3,1187e3,1285e3,1384e3,1531e3,1745e3,1963e3,206e4,2087e3
Equatorial Guinea,42e3,43e3,45e3,47e3,5e4,41e3,33e3,39e3,41e3,52e3,74e3,103e3,126e3,133e3,129e3,132e3,151e3,18e4,219e3,253e3,283e3
Eritrea,142e3,156e3,177e3,203e3,236e3,273e3,335e3,37e4,409e3,389e3,409e3,458e3,536e3,736e3,1032e3,1319e3,1584e3,1764e3,1886e3,2116e3,2422e3
Estonia,255e3,278e3,287e3,291e3,319e3,341e3,383e3,387e3,384e3,367e3,355e3,363e3,358e3,352e3,348e3,355e3,373e3,358e3,328e3,295e3,27e4
Ethiopia,2431e3,272e4,3074e3,3445e3,3883e3,4392e3,4705e3,5431e3,633e4,7274e3,8212e3,9338e3,10679e3,12414e3,14513e3,17089e3,20476e3,24724e3,29342e3,33978e3,38646e3
Fiji,31e3,36e3,46e3,57e3,67e3,77e3,87e3,101e3,111e3,129e3,148e3,165e3,173e3,175e3,182e3,194e3,207e3,228e3,241e3,244e3,246e3
Finland,904e3,988e3,1013e3,1043e3,1059e3,1058e3,1095e3,1131e3,1282e3,1416e3,1509e3,1567e3,1494e3,1408e3,137e4,1344e3,1329e3,1367e3,1346e3,1311e3,1293e3
France,11032e3,11328e3,10544e3,10999e3,11283e3,11651e3,12493e3,1211e4,13059e3,14086e3,15328e3,16793e3,16896e3,1694e4,16513e3,16165e3,15871e3,15424e3,1546e4,15553e3,15676e3
French Guiana,5e3,6e3,7e3,7e3,8e3,9e3,11e3,14e3,19e3,25e3,32e3,39e3,49e3,58e3,62e3,67e3,74e3,83e3,96e3,107e3,117e3
French Polynesia,9e3,1e4,11e3,12e3,15e3,18e3,21e3,26e3,3e4,36e3,45e3,56e3,65e3,72e3,77e3,8e4,85e3,89e3,93e3,94e3,9e4
