country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,2306e3,2503e3,2739e3,3023e3,3381e3,3738e3,3849e3,3345e3,337e4,4836e3,5485e3,6607e3,8015e3,9677e3,11503e3,13365e3,15278e3,17366e3,19629e3,22028e3,24447e3
Albania,323e3,371e3,444e3,516e3,576e3,66e4,785e3,925e3,109e4,997e3,878e3,883e3,94e4,1026e3,1076e3,1014e3,92e4,844e3,8e5,809e3,788e3
Algeria,2439e3,2691e3,2905e3,3081e3,32e5,3803e3,464e4,5901e3,7272e3,8624e3,10164e3,11774e3,13066e3,13847e3,13593e3,13025e3,12727e3,12782e3,13385e3,13605e3,13276e3
Angola,12e5,1288e3,1386e3,1474e3,1574e3,1761e3,2041e3,245e4,2831e3,3314e3,3826e3,4516e3,5335e3,632e4,731e4,8442e3,9504e3,10632e3,11828e3,12886e3,13884e3
Argentina,5609e3,6016e3,6304e3,6561e3,6898e3,747e4,8022e3,8572e3,9102e3,9757e3,10809e3,11619e3,12468e3,13127e3,13254e3,13368e3,13453e3,1345e4,13415e3,13369e3,13136e3
Armenia,362e3,446e3,608e3,656e3,676e3,792e3,917e3,1114e3,1198e3,987e3,871e3,851e3,944e3,1009e3,97e4,894e3,803e3,768e3,791e3,775e3,725e3
Aruba,12e3,13e3,14e3,14e3,16e3,19e3,2e4,25e3,22e3,28e3,28e3,29e3,28e3,28e3,29e3,3e4,29e3,27e3,25e3,25e3,25e3
Australia,2565e3,2671e3,2827e3,3041e3,3522e3,4002e3,461e4,5138e3,5488e3,5694e3,5669e3,5798e3,594e4,6056e3,6235e3,6309e3,6402e3,6484e3,6627e3,6803e3,6924e3
Austria,186e4,1756e3,1861e3,1903e3,1943e3,2039e3,2136e3,2258e3,2424e3,2541e3,2407e3,2313e3,2206e3,2172e3,214e4,2051e3,1957e3,1864e3,1833e3,1827e3,1834e3
Azerbaijan,776e3,956e3,1234e3,1285e3,1274e3,1392e3,1646e3,2129e3,2377e3,2619e3,2642e3,2647e3,2904e3,3146e3,3172e3,3036e3,2886e3,2821e3,2899e3,2915e3,2757e3
Bahamas,23e3,25e3,3e4,4e4,48e3,54e3,62e3,76e3,88e3,99e3,103e3,107e3,11e4,114e3,118e3,117e3,118e3,115e3,112e3,112e3,111e3
Bahrain,35e3,4e4,48e3,49e3,58e3,78e3,134e3,18e4,216e3,243e3,265e3,295e3,325e3,333e3,339e3,348e3,35e4,349e3,348e3,344e3,345e3
Bangladesh,12777e3,13839e3,15138e3,16393e3,17956e3,20731e3,23954e3,27979e3,32868e3,38303e3,44871e3,51731e3,57623e3,61763e3,64133e3,6486e4,64093e3,63169e3,61934e3,60483e3,59448e3
Barbados,63e3,6e4,55e3,5e4,53e3,64e3,74e3,88e3,95e3,94e3,83e3,78e3,76e3,72e3,7e4,65e3,59e3,54e3,52e3,51e3,5e4
Belarus,227e4,2374e3,2706e3,2639e3,2534e3,258e4,2727e3,3069e3,3125e3,3075e3,2931e3,2919e3,3028e3,2904e3,2631e3,2279e3,1963e3,1822e3,1778e3,1706e3,1578e3
Belgium,2447e3,2438e3,2537e3,2452e3,2515e3,2623e3,2806e3,303e4,3052e3,3005e3,2854e3,277e4,2715e3,2671e3,264e4,2602e3,2597e3,2588e3,2616e3,265e4,2646e3
Belize,19e3,21e3,24e3,24e3,28e3,3e4,34e3,43e3,55e3,68e3,77e3,88e3,101e3,114e3,126e3,135e3,14e4,142e3,143e3,144e3,142e3
Benin,54e4,556e3,592e3,655e3,722e3,802e3,912e3,1055e3,1254e3,1565e3,1832e3,2215e3,262e4,306e4,3557e3,4115e3,4761e3,5438e3,6083e3,6654e3,7105e3
Bhutan,48e3,59e3,67e3,76e3,88e3,105e3,122e3,131e3,143e3,132e3,154e3,212e3,251e3,288e3,298e3,293e3,282e3,276e3,279e3,278e3,275e3
Bolivia,754e3,828e3,923e3,1024e3,114e4,1289e3,1478e3,1671e3,1882e3,2145e3,241e4,2706e3,3037e3,3394e3,3737e3,4049e3,427e4,4371e3,4418e3,4393e3,432e4
Bosnia and Herzegovina,725e3,877e3,1042e3,1063e3,1066e3,1155e3,1261e3,1446e3,1472e3,1096e3,1122e3,1117e3,1121e3,1072e3,1016e3,906e3,781e3,722e3,662e3,63e4,596e3
Botswana,113e3,131e3,142e3,151e3,171e3,211e3,266e3,319e3,387e3,461e3,538e3,61e4,701e3,771e3,809e3,814e3,824e3,845e3,87e4,896e3,898e3
Brazil,15659e3,17738e3,20268e3,22745e3,26011e3,30743e3,36202e3,42978e3,48518e3,52991e3,57582e3,6188e4,65107e3,66753e3,67484e3,66681e3,64543e3,61848e3,57723e3,52948e3,49552e3
Brunei,14e3,18e3,23e3,27e3,34e3,45e3,67e3,78e3,101e3,114e3,125e3,14e4,153e3,164e3,174e3,18e4,183e3,183e3,184e3,188e3,19e4
Bulgaria,2316e3,238e4,2549e3,2473e3,2486e3,2477e3,2515e3,2545e3,241e4,227e4,2241e3,2215e3,2157e3,1963e3,1683e3,1465e3,1305e3,125e4,1244e3,12e5,1107e3
