country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,1091e3,1231e3,1295e3,1457e3,166e4,1909e3,2025e3,1799e3,1869e3,2716e3,3126e3,3751e3,4385e3,4956e3,5676e3,6364e3,6978e3,7432e3,7723e3,7928e3,8101e3
Albania,154e3,168e3,214e3,274e3,311e3,315e3,316e3,343e3,352e3,35e4,318e3,286e3,219e3,221e3,236e3,241e3,227e3,201e3,182e3,179e3,181e3
Algeria,1122e3,1289e3,151e4,1789e3,2195e3,2517e3,2826e3,3284e3,3785e3,3795e3,3603e3,2997e3,3139e3,342e4,3595e3,3563e3,3335e3,3075e3,2944e3,2952e3,3032e3
Angola,538e3,582e3,699e3,791e3,895e3,1009e3,1153e3,1405e3,1622e3,1927e3,221e4,2455e3,2842e3,3045e3,3399e3,3683e3,3887e3,4012e3,4104e3,4195e3,4277e3
Argentina,171e4,1937e3,2121e3,2248e3,2331e3,2454e3,2751e3,3283e3,322e4,3338e3,3448e3,3406e3,3317e3,3397e3,3411e3,3357e3,3261e3,3153e3,3044e3,3041e3,3019e3
Armenia,109e3,154e3,242e3,324e3,358e3,306e3,304e3,324e3,369e3,344e3,272e3,193e3,206e3,225e3,231e3,214e3,189e3,175e3,172e3,173e3,169e3
Aruba,5e3,6e3,8e3,8e3,8e3,6e3,5e3,5e3,5e3,6e3,7e3,7e3,7e3,6e3,6e3,6e3,7e3,6e3,6e3,6e3,6e3
Australia,707e3,941e3,1021e3,1151e3,1255e3,124e4,1307e3,1181e3,1261e3,1293e3,1354e3,1337e3,1333e3,1403e3,1442e3,1477e3,1507e3,1521e3,1534e3,1562e3,16e5
Austria,561e3,508e3,481e3,568e3,64e4,614e3,499e3,432e3,462e3,463e3,473e3,428e3,411e3,395e3,392e3,401e3,405e3,401e3,392e3,39e4,396e3
Azerbaijan,232e3,299e3,472e3,709e3,822e3,759e3,677e3,7e5,819e3,933e3,89e4,69e4,663e3,781e3,817e3,767e3,678e3,619e3,614e3,629e3,621e3
Bahamas,1e4,11e3,15e3,21e3,26e3,27e3,28e3,26e3,29e3,28e3,31e3,3e4,28e3,28e3,28e3,28e3,27e3,27e3,27e3,26e3,26e3
Bahrain,16e3,19e3,22e3,33e3,34e3,4e4,4e4,44e3,52e3,56e3,64e3,65e3,71e3,69e3,69e3,68e3,67e3,69e3,7e4,7e4,69e3
Bangladesh,5464e3,6086e3,7597e3,8642e3,9963e3,11487e3,13365e3,15404e3,16854e3,17161e3,17168e3,17386e3,17235e3,1612e4,16057e3,15991e3,15623e3,14971e3,14228e3,13761e3,13563e3
Barbados,22e3,27e3,29e3,31e3,32e3,25e3,26e3,21e3,21e3,2e4,18e3,15e3,14e3,14e3,14e3,14e3,13e3,12e3,12e3,12e3,12e3
Belarus,57e4,625e3,787e3,953e3,917e3,746e3,732e3,744e3,815e3,804e3,61e4,473e3,456e3,477e3,461e3,425e3,383e3,346e3,329e3,33e4,327e3
Belgium,542e3,694e3,704e3,758e3,784e3,727e3,659e3,609e3,597e3,597e3,607e3,587e3,585e3,614e3,614e3,622e3,618e3,61e4,605e3,609e3,616e3
Belize,8e3,1e4,14e3,18e3,19e3,21e3,23e3,23e3,28e3,31e3,35e3,36e3,36e3,36e3,37e3,37e3,36e3,35e3,33e3,32e3,32e3
