country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Chad,168e3,172e3,189e3,207e3,226e3,25e4,268e3,292e3,327e3,363e3,408e3,463e3,51e4,587e3,679e3,787e3,911e3,1071e3,1293e3,1581e3,194e4
Channel Islands,17e3,2e4,21e3,23e3,24e3,25e3,25e3,27e3,27e3,28e3,28e3,3e4,33e3,37e3,41e3,45e3,5e4,53e3,54e3,53e3,52e3
Chile,417e3,493e3,572e3,651e3,74e4,82e4,917e3,1031e3,1191e3,1377e3,1589e3,1898e3,2254e3,269e4,3266e3,3921e3,4466e3,4916e3,5207e3,5543e3,5921e3
China,40837e3,45356e3,46681e3,4996e4,55779e3,63148e3,72487e3,84498e3,96652e3,111302e3,126523e3,142223e3,166494e3,206574e3,239404e3,284984e3,342323e3,386398e3,400066e3,41331e4,440438e3
Colombia,634e3,701e3,821e3,972e3,1153e3,1351e3,1557e3,1818e3,2088e3,2377e3,2728e3,3207e3,3974e3,503e4,6279e3,7759e3,9326e3,10628e3,12005e3,13311e3,14539e3
Comoros,9e3,1e4,1e4,1e4,11e3,13e3,17e3,18e3,2e4,22e3,25e3,29e3,33e3,39e3,51e3,61e3,74e3,93e3,115e3,146e3,168e3
"Congo, Dem. Rep.",68e4,678e3,727e3,81e4,932e3,1074e3,1243e3,1423e3,1654e3,1972e3,2183e3,2511e3,2857e3,3246e3,3718e3,4306e3,5074e3,6059e3,7319e3,8983e3,11135e3
"Congo, Rep.",46e3,52e3,59e3,68e3,8e4,91e3,106e3,122e3,141e3,158e3,177e3,195e3,213e3,238e3,268e3,303e3,355e3,427e3,53e4,655e3,791e3
Costa Rica,74e3,83e3,96e3,111e3,124e3,142e3,169e3,188e3,222e3,256e3,301e3,36e4,44e4,556e3,71e4,888e3,1059e3,1198e3,1354e3,1526e3,17e5
Cote d'Ivoire,1e5,118e3,142e3,175e3,218e3,277e3,355e3,455e3,575e3,727e3,912e3,1106e3,1308e3,1532e3,1768e3,2017e3,23e5,2688e3,3254e3,3949e3,4775e3
Croatia,437e3,431e3,475e3,537e3,624e3,661e3,646e3,699e3,773e3,923e3,979e3,972e3,1035e3,1111e3,1186e3,1238e3,127e4,1292e3,1321e3,1345e3,1341e3
Cuba,412e3,445e3,518e3,648e3,79e4,935e3,1065e3,1146e3,1284e3,1374e3,1594e3,1704e3,1938e3,2196e3,2448e3,2904e3,3403e3,3729e3,3766e3,373e4,3768e3
Cyprus,44e3,53e3,55e3,59e3,85e3,84e3,86e3,93e3,1e5,107e3,121e3,142e3,162e3,183e3,212e3,239e3,26e4,279e3,301e3,328e3,353e3
Czech Rep.,1116e3,1215e3,1389e3,1598e3,1782e3,1879e3,1729e3,1797e3,1831e3,1858e3,1875e3,2033e3,2312e3,2559e3,2692e3,2804e3,2906e3,3135e3,3377e3,347e4,3547e3
Denmark,572e3,632e3,708e3,783e3,868e3,947e3,998e3,1038e3,1047e3,1038e3,1054e3,1149e3,1282e3,1374e3,146e4,1564e3,1652e3,1704e3,1699e3,1648e3,1624e3
Djibouti,2e3,2e3,3e3,4e3,6e3,7e3,12e3,15e3,22e3,25e3,32e3,41e3,48e3,57e3,67e3,79e3,95e3,113e3,134e3,161e3,193e3
Dominican Rep.,106e3,118e3,137e3,163e3,194e3,234e3,282e3,351e3,438e3,54e4,649e3,764e3,896e3,1066e3,1284e3,1547e3,1823e3,209e4,2344e3,2614e3,2879e3
Ecuador,277e3,291e3,312e3,344e3,376e3,424e3,475e3,543e3,64e4,762e3,916e3,1094e3,1301e3,1595e3,1914e3,2263e3,2636e3,3011e3,3384e3,3757e3,413e4
Egypt,1122e3,1306e3,15e5,1713e3,1945e3,2199e3,2504e3,2923e3,3442e3,3977e3,4562e3,5157e3,6295e3,7477e3,8972e3,10731e3,12609e3,14596e3,17343e3,20806e3,24846e3
El Salvador,133e3,141e3,157e3,18e4,204e3,235e3,27e4,314e3,364e3,429e3,498e3,563e3,63e4,704e3,786e3,887e3,1009e3,1142e3,1276e3,1415e3,1598e3
Equatorial Guinea,2e4,2e4,2e4,2e4,21e3,2e4,2e4,23e3,24e3,25e3,28e3,28e3,3e4,38e3,54e3,72e3,86e3,92e3,93e3,102e3,121e3
Eritrea,59e3,59e3,64e3,69e3,77e3,88e3,143e3,134e3,136e3,131e3,145e3,18e4,214e3,244e3,275e3,306e3,375e3,532e3,759e3,965e3,1167e3
Estonia,162e3,169e3,182e3,206e3,228e3,246e3,234e3,246e3,27e4,275e3,29e4,292e3,303e3,317e3,332e3,341e3,345e3,351e3,359e3,371e3,392e3
Ethiopia,885e3,906e3,959e3,1118e3,1303e3,1514e3,1649e3,1902e3,2231e3,2632e3,3089e3,3642e3,4299e3,4991e3,5796e3,6814e3,8054e3,9549e3,11354e3,1364e4,16657e3
Fiji,12e3,14e3,15e3,16e3,2e4,26e3,28e3,32e3,35e3,39e3,47e3,56e3,69e3,83e3,99e3,115e3,124e3,13e4,145e3,163e3,178e3
Finland,408e3,439e3,494e3,559e3,652e3,732e3,782e3,854e3,921e3,968e3,1027e3,112e4,132e4,147e4,1583e3,1678e3,1727e3,1722e3,1726e3,1735e3,1735e3
France,6794e3,7094e3,7708e3,8562e3,9213e3,9659e3,9325e3,1013e4,10982e3,11795e3,12236e3,12742e3,14517e3,1613e4,17586e3,19004e3,20191e3,21172e3,21512e3,21852e3,22035e3
French Guiana,2e3,3e3,3e3,3e3,3e3,3e3,4e3,5e3,6e3,8e3,9e3,11e3,16e3,2e4,28e3,37e3,46e3,55e3,62e3,7e4,8e4
French Polynesia,2e3,3e3,3e3,4e3,4e3,6e3,7e3,8e3,11e3,12e3,17e3,2e4,24e3,31e3,38e3,47e3,59e3,67e3,7e4,78e3,89e3
Gabon,54e3,54e3,54e3,55e3,58e3,59e3,64e3,69e3,75e3,79e3,83e3,86e3,97e3,115e3,136e3,162e3,189e3,219e3,252e3,296e3,349e3
Gambia,12e3,14e3,18e3,19e3,22e3,24e3,29e3,35e3,41e3,51e3,63e3,75e3,85e3,98e3,115e3,135e3,163e3,197e3,234e3,28e4,333e3
Georgia,526e3,522e3,507e3,527e3,564e3,608e3,62e4,678e3,818e3,819e3,872e3,807e3,807e3,847e3,917e3,1e6,1018e3,1022e3,102e4,1023e3,106e4
Germany,9983e3,11102e3,12577e3,14245e3,15533e3,16072e3,15098e3,15479e3,16217e3,16986e3,19038e3,20496e3,21316e3,22677e3,24349e3,26625e3,28453e3,28604e3,28329e3,28123e3,27873e3
Ghana,205e3,245e3,295e3,347e3,388e3,45e4,502e3,606e3,714e3,853e3,1013e3,1193e3,14e5,1601e3,1874e3,2232e3,2673e3,3202e3,3827e3,4543e3,5336e3
Greece,754e3,858e3,1005e3,1132e3,143e4,1573e3,1682e3,1768e3,203e4,228e4,2447e3,2542e3,2715e3,2885e3,3084e3,3284e3,3549e3,3787e3,4012e3,4134e3,4113e3
Grenada,5e3,6e3,6e3,6e3,8e3,7e3,8e3,8e3,1e4,1e4,1e4,1e4,8e3,11e3,11e3,16e3,16e3,18e3,2e4,22e3,28e3
Guadeloupe,14e3,16e3,2e4,2e4,24e3,28e3,31e3,37e3,44e3,52e3,59e3,76e3,84e3,93e3,106e3,122e3,136e3,145e3,144e3,153e3,158e3
Guam,0,1e3,1e3,2e3,2e3,3e3,4e3,7e3,8e3,11e3,13e3,15e3,2e4,24e3,3e4,35e3,4e4,45e3,48e3,5e4,53e3
Guatemala,134e3,154e3,182e3,214e3,242e3,282e3,326e3,393e3,477e3,568e3,664e3,777e3,927e3,1089e3,1252e3,1451e3,1702e3,2036e3,2476e3,3031e3,3667e3
Guinea,212e3,196e3,189e3,194e3,208e3,218e3,251e3,281e3,318e3,367e3,407e3,467e3,532e3,638e3,764e3,913e3,1086e3,1298e3,1568e3,1905e3,2324e3
Guinea-Bissau,3e4,29e3,3e4,31e3,33e3,4e4,48e3,52e3,58e3,65e3,7e4,8e4,89e3,112e3,123e3,136e3,143e3,181e3,211e3,242e3,279e3
Guyana,28e3,28e3,28e3,34e3,37e3,4e4,44e3,46e3,49e3,51e3,53e3,62e3,71e3,85e3,103e3,121e3,137e3,148e3,148e3,15e4,141e3
Haiti,18e4,184e3,209e3,245e3,285e3,322e3,358e3,387e3,42e4,467e3,533e3,601e3,656e3,748e3,852e3,985e3,1132e3,1305e3,1569e3,1976e3,2412e3
Honduras,92e3,93e3,103e3,113e3,13e4,153e3,173e3,209e3,248e3,295e3,349e3,402e3,473e3,573e3,694e3,842e3,102e4,1227e3,1496e3,1822e3,2189e3
"Hong Kong, China",75e3,104e3,148e3,209e3,254e3,388e3,506e3,615e3,72e4,862e3,987e3,108e4,1297e3,1607e3,2023e3,2451e3,2747e3,2989e3,3167e3,3313e3,3403e3
Hungary,1057e3,1215e3,1396e3,1586e3,1778e3,1927e3,1838e3,1918e3,1965e3,2029e3,2067e3,2145e3,2237e3,2415e3,2504e3,2489e3,2541e3,2668e3,2855e3,2917e3,2953e3
Iceland,15e3,17e3,2e4,22e3,25e3,28e3,3e4,34e3,38e3,41e3,43e3,46e3,55e3,64e3,76e3,88e3,97e3,107e3,118e3,127e3,134e3
India,20052e3,20645e3,23312e3,26101e3,3021e4,34767e3,40337e3,46192e3,52901e3,60602e3,69789e3,79402e3,91653e3,111992e3,134533e3,158763e3,184611e3,212728e3,244759e3,279395e3,315635e3
Indonesia,4804e3,4804e3,4877e3,5288e3,6084e3,7048e3,7983e3,9186e3,10989e3,13193e3,15767e3,18304e3,20784e3,2442e4,29649e3,36023e3,43386e3,51143e3,58735e3,65915e3,71592e3
Iran,1396e3,1381e3,1408e3,1513e3,1659e3,1832e3,2127e3,268e4,3093e3,3917e3,447e4,4917e3,5352e3,6387e3,7997e3,9985e3,12264e3,14645e3,17924e3,22867e3,27239e3
Iraq,258e3,32e4,409e3,53e4,651e3,759e3,829e3,858e3,906e3,1037e3,1252e3,143e4,149e4,1972e3,2336e3,2837e3,3637e3,461e4,5738e3,6951e3,8336e3
Ireland,439e3,434e3,448e3,445e3,464e3,493e3,505e3,513e3,532e3,55e4,576e3,634e3,738e3,85e4,969e3,1106e3,1252e3,1433e3,1632e3,1794e3,1895e3
